simulatorType,day,roomId,shortage
dynamic,29,1,0
dynamic,29,2,0
dynamic,29,3,0
dynamic,29,4,0
dynamic,29,5,1
dynamic,29,6,0
dynamic,29,7,0
dynamic,29,8,0
dynamic,29,9,0
dynamic,29,10,0
dynamic,29,11,0
dynamic,29,12,2
dynamic,29,13,2
dynamic,29,14,0
dynamic,29,15,1
dynamic,29,16,0
dynamic,29,17,0
dynamic,29,18,0
dynamic,29,19,2
dynamic,29,20,0
dynamic,29,21,0
dynamic,29,22,0
dynamic,29,23,0
dynamic,29,24,0
dynamic,29,25,2
dynamic,29,26,0
dynamic,29,27,0
dynamic,29,28,0
dynamic,29,29,0
dynamic,29,30,0
dynamic,29,31,0
dynamic,29,32,0
dynamic,29,33,0
dynamic,29,34,0
dynamic,29,35,0
dynamic,29,36,0
dynamic,29,37,2
dynamic,29,38,0
dynamic,29,39,0
dynamic,29,40,0
dynamic,29,41,0
dynamic,29,42,5
dynamic,29,43,0
dynamic,29,44,0
dynamic,29,45,0
dynamic,29,46,0
dynamic,29,47,0
dynamic,29,48,2
dynamic,29,49,0
dynamic,29,50,1
dynamic,29,51,0
dynamic,29,52,0
dynamic,29,53,0
dynamic,29,54,1
dynamic,29,55,0
dynamic,29,56,0
dynamic,29,57,0
dynamic,29,58,0
dynamic,29,59,0
dynamic,29,60,0
dynamic,29,61,0
dynamic,29,62,0
dynamic,29,63,0
dynamic,29,64,0
dynamic,29,65,0
dynamic,29,66,0
dynamic,29,67,0
dynamic,29,68,0
dynamic,29,69,0
dynamic,29,70,0
dynamic,29,71,0
dynamic,29,72,0
dynamic,29,73,0
dynamic,29,74,0
dynamic,29,75,0
dynamic,29,76,0
dynamic,29,77,0
dynamic,29,78,0
dynamic,29,79,0
dynamic,29,80,2
dynamic,29,81,1
dynamic,29,82,0
dynamic,29,83,1
dynamic,29,84,2
dynamic,29,85,0
dynamic,29,86,3
dynamic,29,87,0
dynamic,29,88,0
dynamic,29,89,4
dynamic,29,90,1
dynamic,29,91,1
dynamic,29,92,0
dynamic,29,93,1
dynamic,29,94,0
dynamic,29,95,0
dynamic,29,96,1
